Threshold,Sensitivity,Specificity,PPV,NPV
1,1.000,0.007,0.186,0.995
2,1.000,0.010,0.187,0.997
3,1.000,0.023,0.189,0.999
5,1.000,0.040,0.192,0.999
6,1.000,0.046,0.193,0.999
7,1.000,0.050,0.193,0.999
8,1.000,0.073,0.197,1.000
11,1.000,0.076,0.198,1.000
12,0.985,0.099,0.199,0.967
13,0.985,0.125,0.204,0.974
14,0.985,0.129,0.205,0.975
15,0.985,0.142,0.207,0.977
16,0.985,0.152,0.209,0.979
17,0.985,0.158,0.210,0.979
18,0.985,0.181,0.215,0.982
19,0.985,0.201,0.219,0.984
20,0.985,0.208,0.221,0.984
21,0.971,0.284,0.236,0.977
22,0.971,0.287,0.237,0.977
23,0.971,0.290,0.238,0.978
24,0.956,0.340,0.248,0.972
25,0.956,0.383,0.261,0.975
26,0.956,0.386,0.262,0.975
27,0.956,0.393,0.264,0.975
28,0.942,0.462,0.285,0.972
29,0.942,0.472,0.289,0.973
30,0.942,0.475,0.290,0.973
31,0.898,0.525,0.301,0.958
32,0.884,0.541,0.305,0.953
33,0.884,0.545,0.307,0.954
34,0.884,0.568,0.318,0.956
35,0.870,0.614,0.339,0.954
36,0.870,0.621,0.343,0.954
37,0.855,0.627,0.343,0.950
38,0.855,0.630,0.345,0.950
39,0.855,0.670,0.371,0.953
40,0.855,0.686,0.383,0.954
41,0.826,0.693,0.380,0.946
42,0.768,0.713,0.379,0.931
43,0.725,0.733,0.382,0.921
44,0.725,0.739,0.388,0.922
45,0.710,0.756,0.398,0.920
46,0.638,0.819,0.445,0.908
47,0.594,0.825,0.436,0.899
48,0.594,0.832,0.446,0.900
49,0.594,0.852,0.477,0.902
50,0.565,0.868,0.494,0.898
51,0.536,0.871,0.487,0.892
52,0.507,0.875,0.479,0.886
53,0.362,0.927,0.532,0.865
54,0.348,0.927,0.522,0.862
56,0.275,0.947,0.543,0.852
57,0.232,0.947,0.500,0.844
59,0.232,0.951,0.516,0.845
60,0.102,0.970,0.438,0.826
61,0.102,0.974,0.467,0.826
63,0.058,0.997,0.799,0.823
66,0.000,1.000,0.500,0.815
